call_letters,station_name,frequency,format,market_city,market_state,market_rank,owner,address,phone_main,phone_direct,phone_studio,contact_name,contact_title,contact_email,best_call_days,best_call_time_start,best_call_time_end,timezone,last_called,last_result,follow_up_date,status,notes,verified_date,source
KAAC,,99.7 FM,,Utqiavik,AK,,Adventist Radio Alaska Corporation,"6100 O'Malley Road, Anchorage, AK",9073461004,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=773775 fcc_applicant_email=pastortobin@gmail.com,,FCC LMS 2026-04-23
KABN,,960 AM,,Kenai,AK,,"Alaska Broadcast Television, INC","PO BOX 210830, ANCHORAGE, AK",9073336535,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=AM fac_id=160572 fcc_applicant_email=bdunfee@abt.church,,FCC LMS 2026-04-23
KAEB,,91.9 FM,,Sand Point,AK,,"Aleutian Peninsula Broadcasting, INC","SAND POINT, AK",9073835737,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=199470 fcc_applicant_email=gm@apradio.org,,FCC LMS 2026-04-23
KAFC,,93.7 FM,Religious/Christian,Anchorage,AK,178,"Christian Broadcasting, INC","6401 E. NORTHERN LIGHTS, SUITE 201, ANCHORAGE, AK",9077270409,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,FCC svc=FM fac_id=78507 metro=Anchorage fcc_applicant_email=tom@cbimediagroup.com,,FCC LMS 2026-04-23
KAGV,,1110 AM,Religious/Christian,Big Lake,AK,178,"Voice FOR Christ Ministries, INC","PO BOX 474, NENANA, AK",9078325426,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,"FCC svc=AM fac_id=129316 cbsa_match=Anchorage, AK → Nielsen #178 fcc_applicant_email=mike@vfcm.org",,FCC LMS 2026-04-23
KAKD,,104.9 FM,,Dillingham,AK,,BAY Broadcasting Company,"P.O. BOX 214, NAKNEK, AK",9072467492,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=201835 fcc_applicant_email=KAKN@KAKN.ORG,,FCC LMS 2026-04-23
KAKI,,88.1 FM,Religious/Christian,Juneau,AK,,Educational Media Foundation (K-LOVE/Air1),"2000 Reams Fleming Boulevard, Franklin, TN",9162511600,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=175915 licensee=K-LOVE, Inc. fcc_applicant_email=fccdocumentdistribution@emfbroadcasting.com",,FCC LMS 2026-04-23
KAKL,,88.5 FM,Religious/Christian,Anchorage,AK,178,Educational Media Foundation (K-LOVE/Air1),"2000 Reams Fleming Boulevard, Franklin, TN",9162511600,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",09:00,11:00,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=93003 metro=Anchorage licensee=K-LOVE, Inc. fcc_applicant_email=EFILE@EMFBROADCASTING.COM",,FCC LMS 2026-04-23
KAKN,,100.9 FM,,Naknek,AK,,"BAY Broadcasting Company, INC","P.O. BOX 214, NAKNEK, AK",,,,,,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=4079,,FCC LMS 2026-04-23
KAKQ-FM,,101.1 FM,,Fairbanks,AK,,iHeartMedia,"7136 S. YALE AVENUE, SUITE 501, TULSA, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=12519 cbsa=Fairbanks-College, AK licensee=IHM LICENSES, LLC fcc_applicant_email=FCCCONTACT@IHEARTMEDIA.COM",,FCC LMS 2026-04-23
KALG,,98.1 FM,,Kaltag,AK,,BIG River Public Broadcasting Corporation,"GALENA, AK",9076561488,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=178864 fcc_applicant_email=austin1985a@gmail.com,,FCC LMS 2026-04-23
KAMC-FM,,90.7 FM,,Soldotna,AK,,Alaska Multi Culture Corp,"44510 Parkway Ave., Soldotna, AK",9072527220,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=767059 fcc_applicant_email=peromarinkovski@yahoo.com,,FCC LMS 2026-04-23
KASH-FM,,107.5 FM,,Anchorage,AK,178,iHeartMedia,"7136 S. YALE AVENUE, SUITE 501, TULSA, OK",9186644581,,,,PD — research via AllAccess,,"Tuesday,Wednesday,Thursday",10:00,11:30,AT,,,,UNVERIFIED,"FCC svc=FM fac_id=12958 metro=Anchorage licensee=IHM LICENSES, LLC fcc_applicant_email=FCCCONTACT@IHEARTMEDIA.COM",,FCC LMS 2026-04-23
KATB,,89.3 FM,,Anchorage,AK,178,Alaska Educational Radio Foundation,"6401 E. NORTHERN LIGHTS, ANCHORAGE, AK",,,,,,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=10933 metro=Anchorage,,FCC LMS 2026-04-23
KAUK,,91.7 FM,,Juneau,AK,,KTOO Public Media,"360 Egan Drive, Juneau, AK",9074636405,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=762196 fcc_applicant_email=justin.shoman@ktoo.org,,FCC LMS 2026-04-23
KAVM,,105.1 FM,,Cold Bay,AK,,"Alaska Village Missions, Inc","1295 Mission Road, Homer, AK",9072995533,,,,PD — research via AllAccess,,,,,AT,,,,UNVERIFIED,FCC svc=FM fac_id=761196 fcc_applicant_email=avmrandy@gmail.com,,FCC LMS 2026-04-23
